# trad ref genes
S000001855	YFL039C	S. cerevisiae	ACT1	ACTin
S000000980	YER178W	S. cerevisiae	PDA1	Pyruvate Dehydrogenase Alpha
S000003424	YGR192C	S. cerevisiae	TDH3	Triose-phosphate DeHydrogenase
# Teste et al
S000005163	YNL219C	S. cerevisiae	ALG9	Asparagine-Linked Glycosylation
S000002574	YDR167W	S. cerevisiae	TAF10	TATA binding protein-Associated Factor
S000000327	YBR123C	S. cerevisiae	TFC1	Transcription Factor class C
S000000902	YER100W	S. cerevisiae	UBC6	UBiquitin-Conjugating
S000006364	YPR160W	S. cerevisiae	GPH1	Glycogen PHosphorylase
S000004248	YLR258W	S. cerevisiae	GSY2	Glycogen SYnthase
S000001361	YIL099W	S. cerevisiae	SGA1	Sporulation-specific GlycoAmylase
# Me
S000003607	YJL071W	S. cerevisiae	ARG2	ARGinine requiring
S000000523	YCL018W	S. cerevisiae	LEU2	LEUcine biosynthesis
S000003331	YGR099W	S. cerevisiae	TEL2	TELomere maintenance
S000005717	YOR191W	S. cerevisiae	ULS1	Ubiquitin Ligase for SUMO conjugates
S000002847	YDR439W	S. cerevisiae	LRS4	Loss of RDNA Silencing
S000002848	YDR440W	S. cerevisiae	DOT1	Disruptor Of Telomeric silencing
